Button Number,Latitude,Longitude
落書き,33.94369361615589,-118.35243919469004
落書き,33.94369361615589,-118.35243919469004
落書き,33.943542581343735,-118.35243449677235
落書き,33.9434707959867,-118.35244221948649
落書き,33.94342892693958,-118.35243614045505
落書き,33.94316578053907,-118.35243292201007
落書き,33.94305639512374,-118.35243421720408
落書き,33.942996755171826,-118.35243458874092
落書き,33.94292308509132,-118.35243465905862
落書き,33.94289424943026,-118.35243516253777
落書き,33.942836334124046,-118.3524385277446
落書き,33.942295743542,-118.35245094187839
落書き,33.941928575979546,-118.35243563676536
匂い,33.941877807357926,-118.35243811766738
落書き,33.94089004959347,-118.3525107522666
落書き,33.94050234181081,-118.35243881390721
落書き,33.94034249731339,-118.35245131043877
落書き,33.93979684978886,-118.3524349607358
落書き,33.93785663883568,-118.3525054716676
落書き,33.935210195682686,-118.35240369319686
落書き,33.93516999575156,-118.35239980865299
落書き,33.935156657680004,-118.35239572839076
落書き,33.935109067695436,-118.35241634238929
落書き,33.934905665235505,-118.35241411258095
落書き,33.9348510476113,-118.35241787101788
落書き,33.93482285739247,-118.35242056446067
落書き,33.934203218700304,-118.35237647417779
落書き,33.93408453825928,-118.3523877997564
落書き,33.93386641916057,-118.3523562242438
鉄格子,33.94657843931897,-118.3819908732973
街灯少ない,33.923984428688115,-118.38317200069177
街灯少ない,33.92631506399039,-118.38315619147001
街灯少ない,33.927750168212846,-118.38313497571605
ホームレス,33.92758415431473,-118.25464851995693
ホームレス,33.92891362555739,-118.25429049613558
ホームレス,33.92891362555739,-118.25429049613558
ホームレス,33.928919480418,-118.25428965096144
ホームレス,33.928919480418,-118.25428965096144
ホームレス,33.928919480418,-118.25428965096144
ホームレス,33.92891945434956,-118.25428317855824
鉄格子,33.92974997544451,-118.25426806581127
鉄格子,33.9300264324462,-118.25426133763763
鉄格子,33.93042243401956,-118.25424883062888
鉄格子,33.93126321486226,-118.25424624272637
鉄格子,33.931829277243665,-118.25424501611779
鉄格子,33.93206673797437,-118.25424134377607
鉄格子,33.93231220259008,-118.25421934030959
鉄格子,33.93231220259008,-118.25421934030959
鉄格子,33.93243501609233,-118.2542186683084
鉄格子,33.93256352289914,-118.25421719543745
鉄格子,33.93269588653219,-118.25421530523647
鉄格子,33.93282385884661,-118.25421347774267
鉄格子,33.9330700801113,-118.254210385072
鉄格子,33.93330087491129,-118.25420853362205
鉄格子,33.93411344271983,-118.25420031214749
鉄格子,33.93461433954206,-118.25419427243072
鉄格子,33.93480608909222,-118.25419247696988
鉄格子,33.93490766373719,-118.25419089690241
鉄格子,33.935817754196314,-118.25417683378407
鉄格子,33.93688244061879,-118.25417094745887
鉄格子,33.93714689882812,-118.25416657858828
鉄格子,33.937547102013,-118.25415962741715
ホームレス,33.937811530869396,-118.25415613073919
ホームレス,33.937811530869396,-118.25415613073919
ホームレス,33.937945916105605,-118.25415485111432
ホームレス,33.937945916105605,-118.25415485111432
ホームレス,33.937945916105605,-118.25415485111432
鉄格子,33.937945916105605,-118.25415485111432
ホームレス,33.93819027126586,-118.25415210393452
ホームレス,33.93831524396492,-118.25415013485866
鉄格子,33.93844364941913,-118.25414952116373
鉄格子,33.93871023581888,-118.25414648967188
鉄格子,33.93897817438626,-118.25414412096995
鉄格子,33.93911791866665,-118.25414277970523
鉄格子,33.939253405802255,-118.25414139545701
鉄格子,33.939390825867974,-118.25413987666441
鉄格子,33.9395321372667,-118.25413838181305
鉄格子,33.93967784400859,-118.25413731367091
鉄格子,33.93967784400859,-118.25413731367091
鉄格子,33.93980865367846,-118.25413561826036
鉄格子,33.93980865367846,-118.25413561826036
鉄格子,33.939949718888926,-118.25413378992835
鉄格子,33.94009597571856,-118.2541321257328
鉄格子,33.94009597571856,-118.2541321257328
鉄格子,33.94009597571856,-118.2541321257328
鉄格子,33.94023311201031,-118.25413076339623
鉄格子,33.94023311201031,-118.25413076339623
鉄格子,33.94036269152862,-118.25412715535667
鉄格子,33.940790611614666,-118.25412351712659
鉄格子,33.940917670823644,-118.25412201789476
ホームレス,33.942045128051895,-118.2541080297354
鉄格子,33.94291336636848,-118.2541081929751
鉄格子,33.94337187317447,-118.25410065665795
鉄格子,33.9434722555038,-118.25410233982699
鉄格子,33.9436354472506,-118.25409076539975
鉄格子,33.94372566981139,-118.25408912786646
鉄格子,33.943911768600515,-118.25410091771295
ホームレス,33.94426934103474,-118.25409578652601
ホームレス,33.94431940411458,-118.2540963344877
鉄格子,33.94446189379702,-118.25409803703472
ホームレス,33.94461035848303,-118.25407714234858
ホームレス,33.944658216555965,-118.25407670265652
鉄格子,33.944732249351894,-118.25407611165285
鉄格子,33.94493943719198,-118.25407249503162
鉄格子,33.94506826113489,-118.25407169138043
鉄格子,33.945284441593195,-118.25406910772199
ホームレス,33.94542217412922,-118.25406792817925
鉄格子,33.94558003447135,-118.25406683718388
鉄格子,33.94566902423165,-118.25406625106969
鉄格子,33.94566902423165,-118.25406625106969
鉄格子,33.94586820399813,-118.25406521761354
鉄格子,33.946319965712966,-118.25406203284366
鉄格子,33.946704635618744,-118.25405801644581
鉄格子,33.94696349717408,-118.25405557907565
鉄格子,33.94724405769254,-118.25405216172307
ホームレス,33.94724405769254,-118.25405216172307
鉄格子,33.947383299472335,-118.25405051017749
鉄格子,33.947666785517924,-118.25404865455414
鉄格子,33.9478105466597,-118.25404719824554
鉄格子,33.947953405335866,-118.25404575107741
鉄格子,33.94823858593423,-118.25406105714566
鉄格子,33.94823858593423,-118.25406105714566
ホームレス,33.94866635513427,-118.25405195594188
鉄格子,33.94866635513427,-118.25405195594188
鉄格子,33.94881032225994,-118.2540505619441
鉄格子,33.94908892613772,-118.25405131945004
ホームレス,33.949347992828635,-118.2540465532197
鉄格子,33.94960098237534,-118.2540279361242
鉄格子,33.94984286173024,-118.2540257594643
鉄格子,33.94984286173024,-118.2540257594643
ホームレス,33.95033780846171,-118.25412152799525
鉄格子,33.95055808991818,-118.25428714372818
鉄格子,33.95066775334563,-118.25438190979654
鉄格子,33.95077820201672,-118.25448135023659
鉄格子,33.950890487999956,-118.25458304915334
鉄格子,33.95100234037716,-118.25468463731771
鉄格子,33.951449808111974,-118.25508632407983
鉄格子,33.95156666625666,-118.2551911350481
鉄格子,33.95167704804074,-118.25529295685263
鉄格子,33.95179651518156,-118.2553910142583
鉄格子,33.9519140269206,-118.25548564419617
鉄格子,33.95203289864232,-118.2555823450719
鉄格子,33.952154913939395,-118.25568154829976
鉄格子,33.95226599740547,-118.25578332821766
ホームレス,33.95226599740547,-118.25578332821766
鉄格子,33.95237001278483,-118.2558777126301
鉄格子,33.95237001278483,-118.2558777126301
鉄格子,33.95237001278483,-118.2558777126301
鉄格子,33.95246349404207,-118.2559640405383
鉄格子,33.95276346640327,-118.25622175414323
鉄格子,33.953174039462695,-118.25636687456394
鉄格子,33.95326800382382,-118.25610737242586
鉄格子,33.95325070336948,-118.25601612987326
鉄格子,33.953265467497864,-118.25571657093863
